                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4707,                 4.1333,                 3.7377,                 1.4332,                0.00631,                0.91667,                0.12131,                0.04355,                0.00485,                0.70724,                0.03324,                0.00935,                0.98111,                 2.7776,                 3.3944,                 1.0379,                 0.0757,                 0.0027,                 0.0027
                      1,                 1.0166,                 2.6173,                 3.3555,                 1.0425,                 0.0063,                0.91667,                0.48894,                0.41221,                 0.0063,                0.91667,                 0.4795,                0.15903,                0.62006,                 1.4231,                 2.9795,                0.81344,                0.05033,              0.0053298,              0.0053298
                      2,                0.94005,                 1.7787,                 2.2338,                0.95354,                0.91033,                0.74167,                0.85558,                0.60102,                0.91033,                0.74167,                0.85558,                0.47274,                0.96933,                 1.6848,                 1.2585,                0.93795,               0.024786,              0.0077864,              0.0077864
                      3,                0.91194,                 1.7982,                 1.3932,                0.96436,                0.94376,                0.91336,                 0.8796,                0.67899,                0.94376,                0.91336,                 0.8796,                0.57344,                0.85833,                 2.3979,                 1.1838,                0.91896,              0.0090719,              0.0090719,              0.0090719
                      4,                 1.0146,                 1.7137,                 1.1955,                0.99452,                0.90506,                0.89449,                0.88501,                 0.7228,                0.90506,                0.89449,                0.88501,                0.66693,                0.76171,                 1.3214,                 0.9328,                0.90424,              0.0090719,              0.0090719,              0.0090719
                      5,                0.94626,                 1.4321,                 1.0931,                 0.9742,                 0.9403,                0.89035,                0.88872,                0.70858,                 0.9403,                0.89035,                0.88872,                0.60593,                0.82109,                 1.1096,                0.88421,                0.91168,              0.0087625,              0.0087625,              0.0087625
                      6,                0.91655,                 1.2435,                 1.0168,                0.96208,                0.94359,                0.91667,                0.88481,                 0.6895,                0.94359,                0.91667,                0.88481,                0.62957,                0.90058,                0.85287,                0.86687,                0.97997,              0.0084531,              0.0084531,              0.0084531
                      7,                0.89655,                 1.2098,                 0.9857,                0.97248,                 0.9449,                0.91667,                0.88009,                0.76687,                 0.9449,                0.91667,                0.88009,                0.68238,                0.62018,                0.81604,                0.76135,                0.89285,              0.0081437,              0.0081437,              0.0081437
                      8,                0.82443,                  1.192,                0.95301,                0.94436,                0.94101,                0.91667,                0.87891,                0.79464,                0.94101,                0.91667,                0.87891,                0.72183,                0.50906,                0.72431,                0.74758,                0.86975,              0.0078344,              0.0078344,              0.0078344
                      9,                0.77046,                 1.0279,                   0.91,                0.93421,                0.94312,                0.91667,                0.88422,                0.79082,                0.94312,                0.91667,                0.88422,                0.70087,                0.57882,                0.90873,                 0.7673,                0.92134,               0.007525,               0.007525,               0.007525
                     10,                0.75814,                0.97319,                0.93867,                0.94597,                0.94471,                0.91667,                0.88201,                0.76505,                0.94471,                0.91667,                0.88201,                0.71757,                0.59443,                0.71991,                0.76897,                0.92722,              0.0072156,              0.0072156,              0.0072156
                     11,                 0.7615,                0.97887,                0.90338,                0.94423,                0.94298,                0.91667,                0.87673,                 0.7557,                0.94298,                0.91667,                0.87673,                0.72464,                0.58588,                0.71618,                 0.7295,                0.93069,              0.0069063,              0.0069063,              0.0069063
                     12,                0.73383,                0.88648,                0.90504,                0.93004,                0.94798,                0.91667,                0.87578,                0.76009,                0.94798,                0.91667,                0.87578,                0.73411,                0.60949,                 0.5697,                0.75925,                0.95321,              0.0065969,              0.0065969,              0.0065969
                     13,                0.66676,                0.86001,                0.89497,                0.91823,                0.94631,                0.91667,                0.88422,                0.76451,                0.94631,                0.91667,                0.88422,                0.74985,                0.54899,                0.53836,                0.70632,                0.91782,              0.0062875,              0.0062875,              0.0062875
                     14,                0.65722,                0.77228,                0.87033,                0.91359,                0.94461,                0.91667,                0.88384,                0.79743,                0.94461,                0.91667,                0.88384,                0.75803,                0.46677,                0.57096,                 0.6986,                0.87059,              0.0059781,              0.0059781,              0.0059781
                     15,                0.72174,                0.85949,                0.87776,                0.92754,                0.94629,                0.91667,                0.88384,                0.81572,                0.94629,                0.91667,                0.88384,                0.76692,                0.41798,                0.54602,                0.62989,                0.86413,              0.0056688,              0.0056688,              0.0056688
                     16,                0.63815,                0.80215,                 0.8014,                0.91891,                0.93883,                0.91667,                0.89221,                0.82038,                0.93883,                0.91667,                0.89221,                0.76504,                0.49087,                0.51904,                0.68335,                0.87925,              0.0053594,              0.0053594,              0.0053594
                     17,                0.65454,                0.90902,                0.80843,                0.90994,                0.93991,                0.91667,                0.89873,                0.85358,                0.93991,                0.91667,                0.89873,                0.77249,                0.39225,                0.53201,                0.62302,                0.85585,                0.00505,                0.00505,                0.00505
                     18,                0.62996,                0.79491,                0.78524,                0.90309,                0.94057,                0.91667,                0.89413,                0.82766,                0.94057,                0.91667,                0.89413,                0.76911,                0.40834,                0.57403,                0.57185,                0.85698,              0.0047406,              0.0047406,              0.0047406
                     19,                0.58062,                0.78433,                0.75476,                0.89454,                 0.9408,                0.91667,                0.89311,                0.84634,                 0.9408,                0.91667,                0.89311,                0.75706,                0.36756,                0.56833,                0.58469,                0.84893,              0.0044313,              0.0044313,              0.0044313
                     20,                0.58024,                 0.7532,                0.70684,                0.89792,                0.94121,                0.91667,                0.89461,                0.84619,                0.94121,                0.91667,                0.89461,                0.76901,                0.37476,                0.56077,                  0.597,                0.84684,              0.0041219,              0.0041219,              0.0041219
                     21,                0.55726,                0.77552,                0.72652,                0.89538,                0.93819,                0.91667,                0.89776,                 0.8491,                0.93819,                0.91667,                0.89776,                0.75968,                0.38614,                0.51779,                 0.6206,                0.85032,              0.0038125,              0.0038125,              0.0038125
                     22,                0.48515,                0.62214,                0.75262,                0.87246,                0.93281,                0.91667,                0.89615,                0.87649,                0.93281,                0.91667,                0.89615,                  0.769,                 0.3365,                0.49596,                0.66657,                0.83861,              0.0035031,              0.0035031,              0.0035031
                     23,                0.45526,                0.53503,                0.72308,                0.87405,                0.93748,                0.91667,                0.89395,                0.82558,                0.93748,                0.91667,                0.89395,                0.78077,                0.43632,                0.49354,                0.56498,                0.87611,              0.0031938,              0.0031938,              0.0031938
                     24,                0.44527,                0.57057,                0.68212,                0.86426,                0.94413,                0.91667,                 0.8952,                0.85514,                0.94413,                0.91667,                 0.8952,                0.78874,                0.38166,                0.47262,                0.52843,                0.84827,              0.0028844,              0.0028844,              0.0028844
                     25,                0.43808,                0.58759,                0.68034,                 0.8619,                0.94248,                0.91667,                0.89806,                0.85239,                0.94248,                0.91667,                0.89806,                0.79716,                0.33592,                0.46503,                0.51113,                0.83854,               0.002575,               0.002575,               0.002575
                     26,                0.41036,                0.59538,                0.65804,                0.84974,                0.94016,                0.91667,                0.89806,                0.87567,                0.94016,                0.91667,                0.89806,                 0.7735,                0.30368,                0.47185,                0.49403,                0.83352,              0.0022656,              0.0022656,              0.0022656
                     27,                0.40091,                0.53836,                0.65017,                0.85355,                0.94085,                0.91667,                0.89588,                0.86214,                0.94085,                0.91667,                0.89588,                 0.7857,                0.29352,                0.47009,                0.50638,                0.83111,              0.0019563,              0.0019563,              0.0019563
                     28,                0.40089,                0.64625,                 0.6449,                0.84229,                0.93971,                0.91667,                0.89586,                0.86496,                0.93971,                0.91667,                0.89586,                0.77398,                0.30939,                0.47183,                0.49694,                0.83436,              0.0016469,              0.0016469,              0.0016469
                     29,                0.39612,                0.65904,                0.63198,                0.86967,                0.93937,                0.91667,                0.89395,                0.86347,                0.93937,                0.91667,                0.89395,                0.78782,                0.29949,                0.46915,                0.47176,                 0.8325,              0.0013375,              0.0013375,              0.0013375
                     30,                0.35376,                0.52938,                 0.6242,                 0.8522,                0.94076,                0.91667,                0.89395,                0.86719,                0.94076,                0.91667,                0.89395,                0.80415,                0.28765,                0.44553,                0.46051,                0.82906,              0.0010281,              0.0010281,              0.0010281
                     31,                0.36051,                0.49321,                0.62784,                 0.8619,                0.94068,                0.91667,                0.89395,                0.87371,                0.94068,                0.91667,                0.89395,                0.78296,                0.28713,                0.45013,                0.46967,                0.82897,             0.00071875,             0.00071875,             0.00071875
